gvkey,first_year,last_year,first_markup,last_markup,first_PPI,last_PPI,first_COGS,last_COGS,periods,cagr_markup,cagr_PPI,cagr_COGS,ind2d_definition,dot_size,sale_CPI,conm,naics,markup_closest_2018
120358.0,2009,2018,1.5740947,1.7268335,47.18472347392808,32.66910429878382,13730.754530913071,9153.778209901116,9,1.0343019840555634,-4.002585839289852,-4.405259625275604,Information,9.96800878461698,21332.964503311694,THESTREET INC,519130.0,1.7268335
120458.0,2009,2016,1.7552481,1.4087375,47.18472347392808,35.51411540883794,26876.41849074944,95747.5676934159,7,-3.0928240344585856,-3.97786243644791,19.900870590802455,Information,12.115533521337348,182687.71913081812,BANKRATE INC,519130.0,1.4087375
120463.0,2004,2008,0.12163065,0.30637902,62.47987117552335,81.53685182915909,177.67042404723563,180.51222110154873,4,25.98069466892916,6.881724759268071,0.3974928821351975,"Mining, Quarrying, and Oil and Gas Extraction",4.231370114942403,68.81144720842327,RIMFIRE MINERALS CORP,212.0,0.30637902
120493.0,1998,2005,1.3683852,1.5157995,87.22222222222223,74.99999608559519,92890.12345679013,86385.69486504725,7,1.4723287328503476,-2.133638588652287,-1.0317156795082494,Manufacturing,11.986748071137633,160612.20456094967,TELEX COMMUNICATIONS INC,334310.0,1.5157995
120593.0,1997,2007,1.4134315,1.2729726,164.24090741787373,69.25976592261978,2858.2184980061793,1887.0706901891,10,-1.041198015252387,-8.272413143334234,-4.066724212822104,Manufacturing,8.269356413070634,3902.436626572354,NEXTERA ENTERPRISES INC,325412.0,1.2729726
120656.0,2003,2012,1.8287899,0.94628423,66.59364366957044,68.55628022928168,4115.005251095003,42125.6835877494,9,-7.05919690020268,0.32325339084069427,29.49167269204871,Manufacturing,11.0616962185854,63684.4831067143,AMERICAN ORIENTAL BIOENGR,325412.0,0.94628423
120723.0,1997,2006,2.4713855,1.4962788,62.73526115026732,47.56648419468139,2732.7479757056444,1272.4535875564475,9,-5.422946223830194,-3.028690525891675,-8.142246748497728,Information,7.82715207016424,2507.7772202709484,TENFOLD CORP,511210.0,1.4962788
120774.0,1997,2016,1.2469709,2.8852823,56.27352736973196,26.551428414296048,3552.0704863281358,290819.36153785203,19,4.5142162272387765,-3.8762459021899898,26.093201216185324,Manufacturing,13.802418863271273,986993.6287930936,BROCADE COMMUNICATIONS SYS,334118.0,2.8852823
120824.0,1997,2018,0.98600322,0.55929857,86.76286617081972,132.40429851459254,27474.28026814807,485937.8397380781,21,-2.6637654185607262,2.0331612900305496,14.66004662047624,Manufacturing,13.313517011480712,605322.7170937244,U S CONCRETE INC,327320.0,0.55929857
120835.0,1998,2009,1.2773501,1.3144492,70.86419753086419,54.12087782459552,26544.444444444445,130921.09298693456,11,0.26061192135937716,-2.420633060607469,15.612095002738124,Administrative and Support and Waste Management and Remediation Services,12.230885744533662,205024.7012027386,WASTE SERVICES INC,562111.0,1.3144492
120839.0,1997,2003,3.0839283,2.7998378,62.73526115026732,51.75246156886848,8947.302945251125,14928.257670960698,6,-1.597809393053029,-3.1566322865994145,8.906256506391363,Information,10.948276440342063,56855.96621818366,INET TECHNOLOGIES INC,511210.0,2.7998378
120860.0,1997,2018,1.7702407,2.2988906,74.78043129111866,41.06743340877498,1530.11301945502,25439.306010202803,21,1.252112833428498,-2.813661837999215,14.322697748231805,Manufacturing,11.167789272605772,70812.39058311697,AUDIOCODES LTD,334210.0,2.2988906
120877.0,1998,2016,4.1911821,2.4106381,185.55556172839508,53.018701842134796,753703.7037037037,1994933.8526473101,18,-3.0260011329003356,-6.722846572682151,5.556475443831577,Manufacturing,15.475841982781526,5261054.199461995,REYNOLDS AMERICAN INC,312230.0,2.4106381
121080.0,2000,2011,1.0316122,1.7134041,59.06674542232723,46.56693205296875,6753.691671588895,30683.08716154204,11,4.7203806146183025,-2.1384173668024253,14.751878095540949,Information,11.155294828823443,69933.13350242103,ONLINE RESOURCES CORP,518210.0,1.7134041
121142.0,2003,2018,1.4689429,1.8151451,54.76450959668622,53.04208620311446,271463.2929100059,932052.7259232225,15,1.4208148608202409,-0.2128176967245876,8.571363307312673,Manufacturing,14.443378269154117,1873611.2366284216,SKECHERS U S A INC,31621.0,1.8151451
121143.0,1998,2007,1.4051892,1.579612,64.5679012345679,42.175220338483165,7768.518518518519,75786.11560335632,9,1.3085688141256435,-4.621834367823863,28.80028587804617,Manufacturing,11.88614655244089,145240.54129779735,WAVECOM SA,334220.0,1.579612
121153.0,1997,2011,1.873642,1.8053108,66.4366415581331,39.92097320366929,3435.382900588639,3505.6309819293174,14,-0.26501510630526637,-3.572805331458284,0.14469127600476028,Manufacturing,8.927587650358568,7537.06140053439,DITECH NETWORKS INC,334220.0,1.8053108
121196.0,2004,2018,1.2897334,1.2120812,53.676865271068166,56.98005926970933,15684.380032206118,22675.090017845047,14,-0.4425652683411663,0.4274773380085861,2.6678351282443336,Wholesale Trade,10.34062337333578,30965.326991,BOSS HOLDINGS INC,423.0,1.2120812
121198.0,2012,2016,0.94646055,1.4469893,45.99678724730295,49.5682783889165,14353.367684623556,16003.232289365638,4,11.196393252396986,1.887072562249692,2.75748699332119,Information,10.353400318434652,31363.507623058405,TIO NETWORKS CORP,518210.0,1.4469893
121233.0,1998,2002,1.1212171,0.84343463,54.19753271604939,76.70230725942601,114406.79012345678,125664.04051772652,4,-6.8698228760634805,9.070480894899946,2.3740311448276152,Manufacturing,11.96005408174367,156381.54192459202,GENERAL CHEMICAL GROUP INC,325180.0,0.84343463
121273.0,1999,2007,2.5053415,5.2523298,59.80570734669096,46.10764167776756,4284.760170006072,370.63071122755446,8,9.694696773009891,-3.1992360513542373,-26.357781961702788,Information,7.837730175404598,2534.445553168794,BACKWEB TECHNOLOGIES LTD,511210.0,5.2523298
121316.0,1999,2004,0.03377666,0.036746755,70.67395264116576,79.54911433172302,14064.966605950212,1470.209339774557,5,1.6998841778250728,2.39416140148605,-36.342717566269876,"Mining, Quarrying, and Oil and Gas Extraction",4.319454330989853,75.14761137949544,GENOIL INC,213112.0,0.036746755
121319.0,1998,2007,2.6629846,1.6417916,83.51851851851852,49.155266741054966,1960.4938271604938,13155.915590575953,9,-5.232147008208599,-5.719732006806167,23.555400627276015,Manufacturing,10.173711779193109,26205.16425232381,VIRTEK VISION INTL,333242.0,1.6417916
121375.0,2009,2016,1.0258176,0.99258459,47.18472347392808,35.51411540883794,1280.1215478476688,953.0742831145659,7,-0.4693663599886988,-3.97786243644791,-4.1269582999466925,Information,7.155618989448388,1281.2852945182576,NET MEDICAL XPRESS SOLUTIONS,519130.0,0.99258459
121440.0,2002,2018,5.9447231,4.4893565,72.08779403489027,72.8926811123038,1932.4704558244232,65418.57298384117,16,-1.7396562806593963,0.06942095967514827,24.623304478428953,Manufacturing,13.391023723030711,654105.3630411342,UNITED THERAPEUTICS CORP,325412.0,4.4893565
121478.0,2009,2017,0.9400323,0.92259401,47.18472347392808,34.68545017199058,1637.7817517800438,1501.1206068517104,8,-0.233788260987422,-3.7738211742778027,-1.083225837155355,Information,7.529590040920549,1862.3418630807248,SALON MEDIA GROUP INC,519130.0,0.92259401
121493.0,1997,2011,0.69965619,2.3945739,62.73526115026732,40.23744614285649,519.4479623242134,62996.92115721086,14,9.186110970457072,-3.1225354258074267,40.87736961491657,Information,12.209392369776523,200665.0481266982,ARIBA INC,511210.0,2.3945739
121613.0,1997,2002,2.4807813,1.9609624,65.99749473008123,46.08891502532359,4745.922506017723,53481.71074845245,5,-4.59389687743621,-6.929122859735559,62.32182977978904,Manufacturing,11.765974147956467,128794.59763646596,GLOBESPANVIRATA INC,334413.0,1.9609624
121656.0,2000,2009,1.3503987,2.2381234,59.06674542232723,47.326277644349865,9868.871825162432,42503.52705807967,9,5.774315627885596,-2.432182692945073,17.614790741391207,Information,11.736898179871952,125103.68842983396,CYBERSOURCE CORP,518210.0,2.2381234
121673.0,2009,2018,2.8779898,3.5910108,47.18472347392808,32.66910429878382,10238.141299372915,48664.90858939836,9,2.4898432670455772,-4.002585839289852,18.910893836050803,Information,12.370944596429075,235848.42163025736,STAMPS.COM INC,519130.0,3.5910108
121718.0,1998,2018,1.4174931,2.2605889,47.90123333333333,26.882694492973712,1385.8024691358025,682273.9254868791,20,2.361120641411274,-2.8469800292515335,36.33672962844345,Manufacturing,14.440123753733369,1867523.451734655,JUNIPER NETWORKS INC,334118.0,2.2605889
121720.0,1998,2003,7.3534102,5.0857639,62.283950617283956,51.75246156886848,651.2345679012345,736.0350089794628,5,-7.1090337735450255,-3.636853589303213,2.4783691355579007,Information,8.535426765313241,5092.004102299885,PERSISTENCE SOFTWARE INC,511210.0,5.0857639
121754.0,1998,2003,0.58540946,1.5600698,62.283950617283956,51.75246156886848,2063.5802469135806,9351.587658730139,5,21.656931634610178,-3.636853589303213,35.28598169311192,Information,9.895735734058764,19845.562987647154,COMMERCE ONE INC,511210.0,1.5600698
